GRID,ID_VUELO,value,esteX,norteY,VIS_BEACH,VIS_WATER,KAYAKS,BOATS,SKY_COVER,WATER_TEMP,FECHA
244,V10C,0,796006.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
245,V10C,0,796036.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
247,V10C,0,795406.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
248,V10C,0,795436.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
249,V10C,0,795466.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
250,V10C,2,795496.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
251,V10C,0,795526.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
252,V10C,0,795556.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
253,V10C,0,795586.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
254,V10C,0,795616.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
255,V10C,0,795646.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
256,V10C,1,795676.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
257,V10C,1,795706.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
258,V10C,0,795736.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
259,V10C,0,795766.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
260,V10C,0,795796.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
261,V10C,0,795826.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
262,V10C,0,795856.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
263,V10C,0,795886.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
264,V10C,0,795916.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
265,V10C,0,795946.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
267,V10C,0,796006.88330,9915575.57300,23,23,0,0,8,26,5/12/2021
269,V10C,0,795436.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
270,V10C,0,795466.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
